date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,n_obs_day_high,n_obs_day_low
2008-08-07,-6.5625,16.65833332999999,-2.4125,24,24
2008-08-08,-6.625,15.362499999999997,-2.416666667,24,24
2008-08-09,-5.854166667,17.10000000000001,-2.045833333,24,24
2008-08-10,-6.490942028999999,16.28659420000001,-3.1114130429999998,23,24
2008-08-11,-5.479166666999999,-0.0625,-4.45,24,24
2008-08-12,-5.3125,-0.4125000000000014,-4.3666666670000005,24,24
2008-08-13,-6.916666667,4.679166670000001,-4.454166666,24,24
2008-08-14,-4.791666666000001,-8.60833333,-5.408333333,24,24
2008-08-15,-4.916666666999999,-8.637499999999996,-5.229166666,24,24
2008-08-16,-4.125,-14.183333340000004,-7.183333332999999,24,24
2008-08-17,-2.6666666670000003,-17.166666669999998,-6.158333333000001,24,24
2008-08-18,-4.9375,-4.229166669999998,-4.629166666000001,24,24
2008-08-19,-4.562500000000001,-1.14583334000001,-4.216666667,24,24
2008-08-20,-6.354166666000001,6.3125,-4.129166666,24,24
2008-08-21,-4.604166666999999,-3.9624999999999915,-4.9916666670000005,24,24
2008-08-22,-6.708333333000001,12.39583334000001,-3.195833333,24,24
2008-08-23,-6.041666666999999,8.308333340000004,-3.241666667,24,24
2008-08-24,-4.875,-1.0375000000000085,-5.1375,24,24
2008-08-25,-6.125,1.9249999999999972,-4.504166667,24,24
2008-08-26,-6.520833333000001,8.966666659999994,-3.216666666,24,24
2008-08-27,-4.895833333,2.416666669999998,-3.891666666,24,24
2008-08-28,-4.083333334,-3.1875,-3.8083333340000003,24,24
2008-08-29,-5.604166666999999,8.824999999999996,-2.595833333,24,24
2008-08-30,-5.541666666999999,2.5749999999999957,-3.470833334,24,24
2008-08-31,-6.541666666000001,7.625,-3.316666667,24,24
2008-09-01,-4.729166666999999,-10.470833339999999,-5.662500000000001,24,24
2008-09-02,-3.3958333339999998,-28.683333339999997,-12.358333333,24,24
2008-09-03,-4.645833333,-1.854166669999998,-4.2749999999999995,24,24
2008-09-04,-4.270833333999999,2.304166660000007,-2.8500000000000005,24,24
2008-09-05,-6.229166666999999,14.495833330000004,-2.2125,24,24
2008-09-06,-6.8125,26.200000000000003,-1.270833334,24,24
2008-09-07,-7.145833333000001,29.279166670000002,-0.620833333,24,24
2008-09-08,-7.504166667000001,23.900833329999998,-2.9349999999999996,20,24
2008-09-09,-7.833333333000001,28.408333329999998,-2.1999999999999997,24,24
2008-09-10,-8.041666667,27.145833339999996,-1.583333334,24,24
2008-09-11,-7.500000000000001,24.279166669999995,-1.5458333340000001,24,24
2008-09-12,-6.0625,14.620833329999996,-1.8624999999999998,24,24
2008-09-13,-6.229166666999999,16.312500000000007,-1.8499999999999999,24,24
2008-09-14,-5.5,7.470833330000005,-2.4499999999999997,24,24
2008-09-15,-7.25,18.129166670000004,-2.595833334,24,24
2008-09-16,-6.145833333000001,13.766666669999992,-2.9625000000000004,24,24
2008-09-17,-6.875,15.441666659999996,-2.925,24,24
2008-09-18,-5.625,9.016666659999999,-3.220833333,24,24
2008-09-19,-5.7651515149999994,12.940151510000007,-3.197727273,22,24
2008-09-20,-5.166666666000001,7.266666670000006,-2.6458333339999998,24,24
2008-09-21,-6.291666666000001,12.783333330000005,-2.9083333330000003,24,24
2008-09-22,-5.270833333,7.712500000000006,-3.3416666669999997,24,24
2008-09-23,-4.666666666999999,-9.125,-5.066666667000001,24,24
2008-09-24,-4.604166666999999,3.491666659999993,-2.891666667,24,24
2008-09-25,-7.090579709999999,17.9201087,-2.9554347830000003,23,24
2008-09-26,-6.041666663,14.862500000000004,-1.820833333,24,24
2008-09-27,-6.287137681000001,16.04402173999999,-2.405072463,23,24
2008-09-28,-5.4875,10.252499999999998,-3.188333333,20,24
2008-09-29,-6.227272727,13.850757580000007,-3.009469697,22,24
2008-09-30,-7.125,20.316666669999996,-2.108333333,24,24
2008-10-01,-6.979166666999999,16.837500000000006,-3.304166666,24,24
2008-10-02,-5.1875,5.099999999999994,-3.6125,24,24
2008-10-03,-4.108695652,-0.3344202900000113,-4.148188405999999,23,24
2008-10-04,-5.3369565219999995,6.23985506999999,-3.5411231889999994,23,24
2008-10-05,-4.541666667,8.227500000000006,-2.978333333,20,24
2008-10-07,-6.080043859,12.470614040000001,-3.531140351,19,24
2008-10-08,-6.625,17.568560599999998,-3.121969697,22,24
2008-10-09,-6.524621212,13.394696969999998,-3.114772727,22,24
2008-10-10,-4.858552632,2.3831140399999953,-4.421491228,19,24
2008-10-11,-4.750000000000001,5.64583334000001,-3.3541666670000003,24,24
