hour,rh_pct_mean,dewpoint_c_mean,vpd_hpa_mean,regime,station_id
0,84.85550358590582,-0.7368864982778297,1.0463468562918614,early,LlanPort
1,84.62150872817955,-0.9389640482172693,1.0484649723086032,early,LlanPort
2,84.32563143124415,-1.1688096351637043,1.0541599002316806,early,LlanPort
3,84.04571784490813,-1.4189689089613826,1.0557471040202426,early,LlanPort
4,83.66682228446935,-1.6537436455997512,1.0684004304481791,early,LlanPort
5,83.11549471064095,-1.8798335407613567,1.0943592655905412,early,LlanPort
6,82.57796032238066,-2.0417586278202107,1.1278423913567883,early,LlanPort
7,81.24245880861851,-2.0232525348504438,1.254186027409062,early,LlanPort
8,78.71049201694363,-1.5438712392776148,1.5515918474796349,early,LlanPort
9,76.93923227065713,-0.5959588484076122,1.8520044216974625,early,LlanPort
10,74.72669258179462,0.4954699816443149,2.292781300897635,early,LlanPort
11,71.32077713551702,1.4181278098904944,3.0066510273278744,early,LlanPort
12,67.61539444267007,1.8660353454675824,3.794083723822421,early,LlanPort
13,65.09152111781518,2.008584735895522,4.351593747273738,early,LlanPort
14,63.7823492063492,1.9869917989380952,4.65670178708508,early,LlanPort
15,63.55104695431472,1.9452479906967006,4.839442413760152,early,LlanPort
16,64.49409148665819,1.8398787589990468,4.858000934265248,early,LlanPort
17,66.76506784474597,1.440164089615336,4.524376438307984,early,LlanPort
18,72.21807077983088,0.3464865852392734,3.080154733535547,early,LlanPort
19,79.21449953227315,-0.2347801683797942,1.6991607014867476,early,LlanPort
20,82.50266123982468,-0.3060318826919224,1.315515142767376,early,LlanPort
21,84.02922403003755,-0.34641061743773466,1.1602301308798495,early,LlanPort
22,84.69552705661557,-0.4362996559305599,1.0879364019652797,early,LlanPort
23,84.85597248280176,-0.5636072024218262,1.062204632968105,early,LlanPort
0,88.02801302931596,2.966571661237785,1.0574772320504886,early,LlanWX
1,88.2982448979592,2.796163265306123,1.0252354337812244,early,LlanWX
2,88.38190709046455,2.6373675631621842,1.0115256492086389,early,LlanWX
3,88.40432653061225,2.480122448979592,1.0023201033012243,early,LlanWX
4,88.5344349245206,2.3190126478988167,0.9781611256801305,early,LlanWX
5,88.34685714285713,2.196530612244898,0.9909036751563265,early,LlanWX
6,87.17400736799019,2.1434302087597215,1.1491259394752353,early,LlanWX
7,85.42972529725297,2.432759327593276,1.4597171444694546,early,LlanWX
8,78.2740649404028,3.8344841759145085,2.764825655674065,early,LlanWX
9,67.44205338809034,4.863778234086242,4.969393191019713,early,LlanWX
10,60.30575364667747,5.2247568881685575,6.650999230834684,early,LlanWX
11,55.19299027552674,5.4630064829821725,8.196675667122772,early,LlanWX
12,51.67330903199676,5.483961117861482,9.451683881878088,early,LlanWX
13,50.063658437879404,5.325900445163901,10.038465275,early,LlanWX
14,50.539214892755965,5.061068393363011,9.874635950690813,early,LlanWX
15,53.62618373128288,4.682152974504249,8.622589215678673,early,LlanWX
16,59.68469635627531,4.245668016194331,6.392305740348583,early,LlanWX
17,66.54074524098826,4.012393681652491,4.59463126989915,early,LlanWX
18,72.91776608660462,3.7838931606636987,3.284210384324565,early,LlanWX
19,78.49514366653177,3.530109267503035,2.331042217051801,early,LlanWX
20,82.42979327117956,3.4278475881637616,1.7486962228775842,early,LlanWX
21,84.9868666396433,3.3422375354681795,1.4133205586761248,early,LlanWX
22,86.56308316430021,3.265030425963489,1.2276346959914808,early,LlanWX
23,87.46685621445978,3.121608448415922,1.121712734292039,early,LlanWX
0,90.75060869565218,2.9755652173913045,0.8113990020204347,late,LlanWX
1,90.84175531914893,2.7347960992907803,0.8046203729906914,late,LlanWX
2,90.96591422121897,2.5339503386004516,0.7940910910781038,late,LlanWX
3,90.94498381877023,2.318955154877485,0.7891225387119739,late,LlanWX
4,91.03790209790209,2.1345920745920743,0.7774215161286712,late,LlanWX
5,90.7103317535545,1.9181990521327015,0.8024968363933648,late,LlanWX
6,90.18822115384616,1.7144230769230768,0.8482627153610576,late,LlanWX
7,89.21941264310601,1.5970134395221505,0.9479657495679441,late,LlanWX
8,87.02202441505595,2.286317395727365,1.2138646660366224,late,LlanWX
9,75.71877979027646,3.8987607244995237,2.9343005945557676,late,LlanWX
10,67.9670534604227,4.975590551181103,4.586593020433486,late,LlanWX
11,62.3783203125,5.566171875,6.1186200194125,late,LlanWX
12,58.15925925925926,5.810843833524246,7.4757253879442525,late,LlanWX
13,54.91222939612609,5.733308013672617,8.562581652521079,late,LlanWX
14,53.67310606060606,5.569204545454546,9.001767903839772,late,LlanWX
15,54.76190836804241,5.2501325255585005,8.565610630046951,late,LlanWX
16,59.54271109428247,4.802006815600151,6.748452903224915,late,LlanWX
17,65.58490278307282,4.522493328250095,4.98583891461342,late,LlanWX
18,71.7048058439062,4.321914648212226,3.6510651950603616,late,LlanWX
19,78.01896417445484,4.009228971962617,2.509562990913162,late,LlanWX
20,83.12652899126292,3.811278792692613,1.7380267178995237,late,LlanWX
21,86.50081566068515,3.5977161500815664,1.284267380581566,late,LlanWX
22,88.66806020066889,3.380476588628763,1.0257496181797658,late,LlanWX
23,90.0199657973493,3.1681487815305687,0.878370737072253,late,LlanWX
